Guid,IsActive,Pricebook2Id,Product2Id,UnitPrice,UseStandardPrice
0e4141c4-20e5-43ce-9f66-ecb98ab51c49,true,d6721aec-714f-4fd1-b41d-9e170591781e,0b77bf4d-e6e5-4343-a551-52186dddc9f5,10000.0,false
0e5f6a37-e61d-4aec-95c2-48454521032f,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,89a6064b-7047-4283-864b-3a55b4ebbd1d,75000.0,false
10d690b5-af2f-4ce3-a846-346c044123e4,true,d6721aec-714f-4fd1-b41d-9e170591781e,649747f1-e266-402e-892e-936252fb0d3f,20000.0,false
144b7b3e-e4f1-4cf3-ad1f-867feea6cef0,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,0b77bf4d-e6e5-4343-a551-52186dddc9f5,10000.0,false
18c9f180-c104-4acc-8ee7-b843ff1a2c47,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,521e92ce-c96b-4ce4-8756-8e43ed37ed5d,85000.0,false
27427b3e-f71c-49ba-86a2-062906ad8697,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,e765c081-1baf-4727-9a15-c08474198095,100000.0,false
3174e850-d43e-4bfa-a633-dc732ab33db3,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,5877cb48-222b-46dd-a0cd-1afa4070910e,20000.0,false
3b2cc8a2-1be6-4f66-a2ea-e68139e188ac,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,30110ef2-3717-4f6d-9646-b9217e08cc03,5000.0,false
3f55ea7b-7ee4-4969-b75f-230bae5cdc04,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,3f585463-03f0-4c1e-b079-7721ccce4d7f,50000.0,false
4cfcd6e2-d0aa-4494-9d83-4bf97d2698fb,true,d6721aec-714f-4fd1-b41d-9e170591781e,54d7c01f-7538-412d-a54f-14604ed72db8,40000.0,false
5058ca02-15ad-42c5-945b-ae748cd5811e,true,d6721aec-714f-4fd1-b41d-9e170591781e,521e92ce-c96b-4ce4-8756-8e43ed37ed5d,85000.0,false
52bffb17-6954-4150-84f4-44f9835b79cb,true,d6721aec-714f-4fd1-b41d-9e170591781e,30110ef2-3717-4f6d-9646-b9217e08cc03,5000.0,false
616195b9-9b76-4f13-bb2d-e02dcb92dce2,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,74e548bb-2646-42d2-ab37-0ca2ab0d4319,5000.0,false
62cc3a8f-b993-4194-81d7-ad7de5a59049,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,3fef33ae-ea57-48d6-90d1-e7eddaea6ce8,25000.0,false
63e06c38-b402-4938-9f3d-44bb69eaf5e0,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,2dc68cea-3327-4d7e-aa0f-b961f4a76db0,15000.0,false
66fb3a9c-25a7-4969-b3cd-ae80f144e3ed,true,d6721aec-714f-4fd1-b41d-9e170591781e,dede962f-efff-4c69-a331-fee6b43b31d6,30000.0,false
698d8654-57cc-42cc-ae16-ad9bb369ae02,true,d6721aec-714f-4fd1-b41d-9e170591781e,e765c081-1baf-4727-9a15-c08474198095,100000.0,false
6f07b576-3909-4196-8817-c9ab41afc347,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,c3546b9b-7750-4f13-8ffe-1ce90c13b8db,50000.0,false
78c8f776-37d6-4f0d-9b42-dfa0a0d39155,true,d6721aec-714f-4fd1-b41d-9e170591781e,89a6064b-7047-4283-864b-3a55b4ebbd1d,75000.0,false
8498b2ac-c722-43af-baef-05f1c73453ea,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,848c1668-aa7c-496e-bbaf-63690d4c5ce7,35000.0,false
93a01caa-aa4a-4216-af15-38120033e329,true,d6721aec-714f-4fd1-b41d-9e170591781e,74e548bb-2646-42d2-ab37-0ca2ab0d4319,5000.0,false
9b5c807f-0471-431a-881e-964637a65c11,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,649747f1-e266-402e-892e-936252fb0d3f,20000.0,false
a0db6f7d-3137-4636-ae11-26d1fdefbe8c,true,d6721aec-714f-4fd1-b41d-9e170591781e,2dc68cea-3327-4d7e-aa0f-b961f4a76db0,15000.0,false
a14e8d35-6231-4b00-befd-2142d02b9c10,true,d6721aec-714f-4fd1-b41d-9e170591781e,848c1668-aa7c-496e-bbaf-63690d4c5ce7,35000.0,false
a270081b-7a3d-4f82-af8b-e8df85268576,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,0276ca09-f8e0-4d4d-9877-03cebd2e3bd9,120000.0,false
a32ab915-2e48-498f-a3df-c1a6fc6e8704,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,e2aab452-71fa-4812-a0ee-1207ce24f986,150000.0,false
ca24f42e-9e9a-42bd-bced-2d8037994b7c,true,d6721aec-714f-4fd1-b41d-9e170591781e,5877cb48-222b-46dd-a0cd-1afa4070910e,20000.0,false
cce0edf5-be15-492e-b25d-2a2065742ca5,true,d6721aec-714f-4fd1-b41d-9e170591781e,0276ca09-f8e0-4d4d-9877-03cebd2e3bd9,120000.0,false
d8621ba5-3691-4cc1-8e29-39c6840db4ad,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,54d7c01f-7538-412d-a54f-14604ed72db8,40000.0,false
e7be3382-b6de-48d3-aaa3-4edefb977759,true,d6721aec-714f-4fd1-b41d-9e170591781e,3f585463-03f0-4c1e-b079-7721ccce4d7f,50000.0,false
ed689fa2-9673-4f45-a89d-e82965333fdb,true,d6721aec-714f-4fd1-b41d-9e170591781e,e2aab452-71fa-4812-a0ee-1207ce24f986,150000.0,false
ef87b1ef-158f-4053-be41-546f7938baad,true,4e1e3705-1ffe-4524-8ce0-13c7deb21b5a,dede962f-efff-4c69-a331-fee6b43b31d6,30000.0,false
f690c1d4-e766-48a6-90aa-4135c3709969,true,d6721aec-714f-4fd1-b41d-9e170591781e,3fef33ae-ea57-48d6-90d1-e7eddaea6ce8,25000.0,false
ffd20017-b086-4c63-9de8-342dff73e994,true,d6721aec-714f-4fd1-b41d-9e170591781e,c3546b9b-7750-4f13-8ffe-1ce90c13b8db,50000.0,false
